Date,nifty_50,fd,gold,govt_bond,mf
2018-01-01,10000.0,100.0,3000.0,100.0,100.0
2018-01-02,9807.433152558897,100.00134340718336,2987.287175962993,99.8926937890326,100.61405228141523
2018-01-03,9796.176274974012,100.011201726701,2967.8315787282327,99.86502019476065,100.33164163407018
2018-01-04,9577.223850840013,100.01692514213266,2966.7021685281034,99.80122723422463,102.32467849202956
2018-01-05,9828.105806761056,100.01983152154207,2955.370365658567,99.62088491085936,102.94372379898347
2018-01-06,9792.10561567965,100.05519563523114,2939.5738457714665,99.63245939005199,101.54507120347698
2018-01-07,9911.324743409616,100.06285597530508,2939.145641104201,99.62442434759765,99.96321714995287
2018-01-08,10052.664359231265,100.12558009599067,2964.297665326051,99.64018292774593,99.96060293741371
2018-01-09,10181.244284907838,100.14597800484442,2958.1423021360138,99.69931107581864,97.87267856557631
2018-01-10,10121.703463687127,100.18474972915055,2934.40723478883,99.58230770170152,98.93207491557246
2018-01-11,10216.927728033224,100.23931696408283,2965.1781302109343,99.71317011661338,99.16687388612957
2018-01-12,10177.873245014516,100.2418367016195,2980.2467451145158,99.860479973257,100.91746076527035
2018-01-13,10184.249346939481,100.29267535537086,2979.8169021027607,99.9443790064445,100.60491895852952
2018-01-14,10161.103344961299,100.31747953305998,2961.70699915363,99.99568566350911,101.60917286056558
2018-01-15,9989.00151377026,100.31737386604456,2989.223109866793,100.00835502095092,100.74591296725161
2018-01-16,10159.18574235106,100.38202297243532,2984.482272321352,100.06371026051647,99.81324665729572
2018-01-17,10446.824528841786,100.34376146295057,3003.995173416268,100.25390518329918,98.5900480981455
2018-01-18,10168.258625745195,100.35702404460746,2976.4523501401577,100.24851229279388,99.1175900032961
2018-01-19,10270.131046999106,100.37983947274914,2989.748059825735,100.23246980847493,99.12850402100067
2018-01-20,10397.315726731606,100.41680127749581,3014.6847154230404,100.12628080007508,100.76628590171842
2018-01-21,10396.696247262333,100.46322975115353,3007.721812023294,100.03728904384312,101.61738966163972
2018-01-22,10409.821272248293,100.44460093200436,2987.7593551726604,100.09562407250763,99.74274223402222
2018-01-23,10583.402973745013,100.44843437057091,2992.7055307746996,99.96472438327915,98.98863901773366
2018-01-24,10602.118594538437,100.4496880477711,2971.1697343738515,100.02569529863837,98.04673310531454
2018-01-25,10819.024919550848,100.45628268665203,3003.464396877696,100.07013976733427,97.5030070731488
2018-01-26,10944.858790194028,100.40827912073897,3013.313056438785,100.10980356438887,95.5322507119756
2018-01-27,10859.203864667852,100.37124509425445,2988.421782367456,100.05340722613585,95.51866154066512
2018-01-28,10751.502855391755,100.39352036689077,2999.662111563762,100.01524912868949,96.04614243918695
2018-01-29,10773.691189071471,100.43710147101486,3011.187403029827,99.95793304633796,97.72012213146057
2018-01-30,10647.138891619814,100.49699660828253,3043.985833199836,100.05463255241442,96.79505373787293
2018-01-31,10805.513627001803,100.48563580962052,3080.9355503882043,100.21122119472456,94.51148316080896
